tokens,tags
"['Hemolysis' 'of' 'human' 'erythrocytes' 'induced' 'by' 'tamoxifen' 'is'
 'related' 'to' 'disruption' 'of' 'membrane' 'structure' '.']",[2 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
"['Tamoxifen' '(' 'TAM' '),' 'the' 'antiestrogenic' 'drug' 'most' 'widely'
 'prescribed' 'in' 'the' 'chemotherapy' 'of' 'breast' 'cancer' ','
 'induces' 'changes' 'in' 'normal' 'discoid' 'shape' 'of' 'erythrocytes'
 'and' 'hemolytic' 'anemia' '.']",[1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 2 3 0]
"['This' 'work' 'evaluates' 'the' 'effects' 'of' 'TAM' 'on' 'isolated'
 'human' 'erythrocytes' ',' 'attempting' 'to' 'identify' 'the'
 'underlying' 'mechanisms' 'on' 'TAM' '-' 'induced' 'hemolytic' 'anemia'
 'and' 'the' 'involvement' 'of' 'biomembranes' 'in' 'its' 'cytostatic'
 'action' 'mechanisms' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0]
"['TAM' 'induces' 'hemolysis' 'of' 'erythrocytes' 'as' 'a' 'function' 'of'
 'concentration' '.']",[1 0 2 0 0 0 0 0 0 0 0]
"['The' 'extension' 'of' 'hemolysis' 'is' 'variable' 'with' 'erythrocyte'
 'samples' ',' 'but' '12' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0]
"['5' 'microM' 'TAM' 'induces' 'total' 'hemolysis' 'of' 'all' 'tested'
 'suspensions' '.']",[0 0 1 0 0 2 0 0 0 0 0]
"['Despite' 'inducing' 'extensive' 'erythrocyte' 'lysis' ',' 'TAM' 'does'
 'not' 'shift' 'the' 'osmotic' 'fragility' 'curves' 'of' 'erythrocytes'
 '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
"['The' 'hemolytic' 'effect' 'of' 'TAM' 'is' 'prevented' 'by' 'low'
 'concentrations' 'of' 'alpha-tocopherol' '(' 'alpha-T' ')' 'and'
 'alpha-tocopherol' 'acetate' '(' 'alpha-TAc' ')(' 'inactivated'
 'functional' 'hydroxyl' ')' 'indicating' 'that' 'TAM' '-' 'induced'
 'hemolysis' 'is' 'not' 'related' 'to' 'oxidative' 'membrane' 'damage' '.']","[0 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 4 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0
 0 0]"
"['This' 'was' 'further' 'evidenced' 'by' 'absence' 'of' 'oxygen'
 'consumption' 'and' 'hemoglobin' 'oxidation' 'both' 'determined' 'in'
 'parallel' 'with' 'TAM' '-' 'induced' 'hemolysis' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0]
"['Furthermore' ',' 'it' 'was' 'observed' 'that' 'TAM' 'inhibits' 'the'
 'peroxidation' 'of' 'human' 'erythrocytes' 'induced' 'by' 'AAPH' ','
 'thus' 'ruling' 'out' 'TAM' '-' 'induced' 'cell' 'oxidative' 'stress' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]
"['Hemolysis' 'caused' 'by' 'TAM' 'was' 'not' 'preceded' 'by' 'the'
 'leakage' 'of' 'K' '(+)' 'from' 'the' 'cells' ',' 'also' 'excluding' 'a'
 'colloid' '-' 'osmotic' 'type' 'mechanism' 'of' 'hemolysis' ','
 'according' 'to' 'the' 'effects' 'on' 'osmotic' 'fragility' 'curves' '.']",[2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0]
"['However' ',' 'TAM' 'induces' 'release' 'of' 'peripheral' 'proteins' 'of'
 'membrane' '-' 'cytoskeleton' 'and' 'cytosol' 'proteins' 'essentially'
 'bound' 'to' 'band' '3' '.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Either' 'alpha-T' 'or' 'alpha-TAc' 'increases' 'membrane' 'packing'
 'and' 'prevents' 'TAM' 'partition' 'into' 'model' 'membranes' '.']",[0 1 0 1 0 0 0 0 0 1 0 0 0 0 0]
"['These' 'effects' 'suggest' 'that' 'the' 'protection' 'from' 'hemolysis'
 'by' 'tocopherols' 'is' 'related' 'to' 'a' 'decreased' 'TAM'
 'incorporation' 'in' 'condensed' 'membranes' 'and' 'the' 'structural'
 'damage' 'of' 'the' 'erythrocyte' 'membrane' 'is' 'consequently'
 'avoided' '.']",[0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Therefore' ',' 'TAM' '-' 'induced' 'hemolysis' 'results' 'from' 'a'
 'structural' 'perturbation' 'of' 'red' 'cell' 'membrane' ',' 'leading'
 'to' 'changes' 'in' 'the' 'framework' 'of' 'the' 'erythrocyte' 'membrane'
 'and' 'its' 'cytoskeleton' 'caused' 'by' 'its' 'high' 'partition' 'in'
 'the' 'membrane' '.']","[0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"['These' 'defects' 'explain' 'the' 'abnormal' 'erythrocyte' 'shape' 'and'
 'decreased' 'mechanical' 'stability' 'promoted' 'by' 'TAM' ','
 'resulting' 'in' 'hemolytic' 'anemia' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 3 0]
"['Additionally' ',' 'since' 'membrane' 'leakage' 'is' 'a' 'final' 'stage'
 'of' 'cytotoxicity' ',' 'the' 'disruption' 'of' 'the' 'structural'
 'characteristics' 'of' 'biomembranes' 'by' 'TAM']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
"['Changes' 'of' 'sodium' 'and' 'ATP' 'affinities' 'of' 'the' 'cardiac' '('
 'Na' ',' 'K' ')-' 'ATPase' 'during' 'and' 'after' 'nitric' 'oxide'
 'deficient' 'hypertension' '.']",[0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 4 0 2 0]
"['In' 'the' 'cardiovascular' 'system' ',' 'NO' 'is' 'involved' 'in' 'the'
 'regulation' 'of' 'a' 'variety' 'of' 'functions' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
"['Inhibition' 'of' 'NO' 'synthesis' 'induces' 'sustained' 'hypertension'
 '.']",[0 0 1 0 0 0 2 0]
"['In' 'several' 'models' 'of' 'hypertension' ',' 'elevation' 'of'
 'intracellular' 'sodium' 'level' 'was' 'documented' 'in' 'cardiac'
 'tissue' '.']",[0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0]
"['To' 'assess' 'the' 'molecular' 'basis' 'of' 'disturbances' 'in'
 'transmembraneous' 'transport' 'of' 'Na' '+,' 'we' 'studied' 'the'
 'response' 'of' 'cardiac' '(' 'Na' ',' 'K' ')-' 'ATPase' 'to' 'NO' '-'
 'deficient' 'hypertension' 'induced' 'in' 'rats' 'by' 'NO' '-' 'synthase'
 'inhibition' 'with' '40' 'mg' '/' 'kg' '/' 'day' 'N(G)-nitro-L-arginine'
 'methyl' 'ester' '(' 'L-NAME' ')' 'for' '4' 'four' 'weeks' '.']","[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 1 4 4 0 1 0 0 0 0 0 0]"
"['After' '4' '-' 'week' 'administration' 'of' 'L-NAME' ',' 'the'
 'systolic' 'blood' 'pressure' '(' 'SBP' ')' 'increased' 'by' '36' '%.'
 'Two' 'weeks' 'after' 'terminating' 'the' 'treatment' ',' 'the' 'SBP'
 'recovered' 'to' 'control' 'value' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['When' 'activating' 'the' '(' 'Na' ',' 'K' ')-' 'ATPase' 'with' 'its'
 'substrate' 'ATP' ',' 'no' 'changes' 'in' 'Km' 'and' 'Vmax' 'values'
 'were' 'observed' 'in' 'NO' '-' 'deficient' 'rats' '.']",[0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
"['During' 'activation' 'with' 'Na' '+,' 'the' 'Vmax' 'remained'
 'unchanged' ',' 'however' 'the' 'K' '(' 'Na' ')' 'increased' 'by' '50'
 '%,' 'indicating' 'a' 'profound' 'decrease' 'in' 'the' 'affinity' 'of'
 'the' 'Na' '+-' 'binding' 'site' 'in' 'NO' '-' 'deficient' 'rats' '.']","[0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0]"
"['After' 'recovery' 'from' 'hypertension' ',' 'the' 'activity' 'of' '('
 'Na' ',' 'K' ')-' 'ATPase' 'increased' ',' 'due' 'to' 'higher' 'affinity'
 'of' 'the' 'ATP' '-' 'binding' 'site' ',' 'as' 'revealed' 'from' 'the'
 'lowered' 'Km' 'value' 'for' 'ATP' '.']",[0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
"['The' 'K' '(' 'Na' ')' 'value' 'for' 'Na' '+' 'returned' 'to' 'control'
 'value' '.']",[0 1 0 1 0 0 0 1 0 0 0 0 0 0]
"['Inhibition' 'of' 'NO' '-' 'synthase' 'induced' 'a' 'reversible'
 'hypertension' 'accompanied' 'by' 'depressed' 'Na' '+-' 'extrusion'
 'from' 'cardiac' 'cells' 'as' 'a' 'consequence' 'of' 'deteriorated' 'Na'
 '+-' 'binding' 'properties' 'of' 'the' '(' 'Na' ',' 'K' ')-' 'ATPase' '.']",[0 0 1 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0]
"['After' 'recovery' 'of' 'blood' 'pressure' 'to' 'control' 'values' ','
 'the' 'extrusion' 'of' 'Na' '+' 'from' 'cardiac' 'cells' 'was'
 'normalized' ',' 'as' 'revealed' 'by' 'restoration' 'of' 'the' '(' 'Na'
 ',' 'K']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1]
"['Effects' 'of' 'long' '-' 'term' 'pretreatment' 'with' 'isoproterenol'
 'on' 'bromocriptine' '-' 'induced' 'tachycardia' 'in' 'conscious' 'rats'
 '.']",[0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0]
"['It' 'has' 'been' 'shown' 'that' 'bromocriptine' '-' 'induced'
 'tachycardia' ',' 'which' 'persisted' 'after' 'adrenalectomy' ',' 'is'
 '(' 'i' ')' 'mediated' 'by' 'central' 'dopamine' 'D2' 'receptor'
 'activation' 'and' '(' 'ii' ')' 'reduced' 'by' '5' '-' 'day'
 'isoproterenol' 'pretreatment' ',' 'supporting' 'therefore' 'the'
 'hypothesis' 'that' 'this' 'effect' 'is' 'dependent' 'on' 'sympathetic'
 'outflow' 'to' 'the' 'heart' '.']","[0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"['This' 'study' 'was' 'conducted' 'to' 'examine' 'whether' 'prolonged'
 'pretreatment' 'with' 'isoproterenol' 'could' 'abolish' 'bromocriptine'
 '-' 'induced' 'tachycardia' 'in' 'conscious' 'rats' '.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0]
"['Isoproterenol' 'pretreatment' 'for' '15' 'days' 'caused' 'cardiac'
 'hypertrophy' 'without' 'affecting' 'baseline' 'blood' 'pressure' 'and'
 'heart' 'rate' '.']",[1 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0]
"['In' 'control' 'rats' ',' 'intravenous' 'bromocriptine' '(' '150'
 'microg' '/' 'kg' ')' 'induced' 'significant' 'hypotension' 'and'
 'tachycardia' '.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2 0]
"['Bromocriptine' '-' 'induced' 'hypotension' 'was' 'unaffected' 'by'
 'isoproterenol' 'pretreatment' ',' 'while' 'tachycardia' 'was' 'reversed'
 'to' 'significant' 'bradycardia' ',' 'an' 'effect' 'that' 'was' 'partly'
 'reduced' 'by' 'i' '.']",[1 0 0 2 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0]
['v' '.'],[0 0]
['domperidone' '(' '0' '.'],[1 0 0 0]
"['5' 'mg' '/' 'kg' ').' 'Neither' 'cardiac' 'vagal' 'nor' 'sympathetic'
 'tone' 'was' 'altered' 'by' 'isoproterenol' 'pretreatment' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
"['In' 'isolated' 'perfused' 'heart' 'preparations' 'from' 'isoproterenol'
 '-' 'pretreated' 'rats' ',' 'the' 'isoproterenol' '-' 'induced' 'maximal'
 'increase' 'in' 'left' 'ventricular' 'systolic' 'pressure' 'was'
 'significantly' 'reduced' ',' 'compared' 'with' 'saline' '-' 'pretreated'
 'rats' '(' 'the' 'EC50' 'of' 'the' 'isoproterenol' '-' 'induced'
 'increase' 'in' 'left' 'ventricular' 'systolic' 'pressure' 'was'
 'enhanced' 'approximately' '22' '-' 'fold' ').' 'These' 'results' 'show'
 'that' '15' '-' 'day' 'isoproterenol' 'pretreatment' 'not' 'only'
 'abolished' 'but' 'reversed' 'bromocriptine' '-' 'induced' 'tachycardia'
 'to' 'bradycardia' ',' 'an' 'effect' 'that' 'is' 'mainly' 'related' 'to'
 'further' 'cardiac' 'beta' '-' 'adrenoceptor' 'desensitization' 'rather'
 'than' 'to' 'impairment' 'of' 'autonomic' 'regulation' 'of' 'the' 'heart'
 '.']","[0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 2 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"['They' 'suggest' 'that' ',' 'in' 'normal' 'conscious' 'rats' ',' 'the'
 'central' 'tachycardia' 'of' 'bromocriptine' 'appears' 'to' 'predominate'
 'and' 'to' 'mask' 'the' 'bradycardia' 'of' 'this' 'agonist' 'at'
 'peripheral' 'dopamine']",[0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1]
"['A' 'developmental' 'analysis' 'of' 'clonidine' ""'"" 's' 'effects' 'on'
 'cardiac' 'rate' 'and' 'ultrasound' 'production' 'in' 'infant' 'rats' '.']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Under' 'controlled' 'conditions' ',' 'infant' 'rats' 'emit' 'ultrasonic'
 'vocalizations' 'during' 'extreme' 'cold' 'exposure' 'and' 'after'
 'administration' 'of' 'the' 'alpha' '(' '2' ')' 'adrenoceptor' 'agonist'
 ',' 'clonidine' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
"['Previous' 'investigations' 'have' 'determined' 'that' ',' 'in'
 'response' 'to' 'clonidine' ',' 'ultrasound' 'production' 'increases'
 'through' 'the' '2nd' '-' 'week' 'postpartum' 'and' 'decreases'
 'thereafter' '.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Given' 'that' 'sympathetic' 'neural' 'dominance' 'exhibits' 'a'
 'similar' 'developmental' 'pattern' ',' 'and' 'given' 'that' 'clonidine'
 'induces' 'sympathetic' 'withdrawal' 'and' 'bradycardia' ',' 'we'
 'hypothesized' 'that' 'clonidine' ""'"" 's' 'developmental' 'effects' 'on'
 'cardiac' 'rate' 'and' 'ultrasound' 'production' 'would' 'mirror' 'each'
 'other' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
"['Therefore' ',' 'in' 'the' 'present' 'experiment' ',' 'the' 'effects'
 'of' 'clonidine' 'administration' '(' '0' '.']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
"['5' 'mg' '/' 'kg' ')' 'on' 'cardiac' 'rate' 'and' 'ultrasound'
 'production' 'were' 'examined' 'in' '2' '-,' '8' '-,' '15' '-,' 'and'
 '20' '-' 'day' '-' 'old' 'rats' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Age' '-' 'related' 'changes' 'in' 'ultrasound' 'production'
 'corresponded' 'with' 'changes' 'in' 'cardiovascular' 'variables' ','
 'including' 'baseline' 'cardiac' 'rate' 'and' 'clonidine' '-' 'induced'
 'bradycardia' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0]
"['This' 'experiment' 'is' 'discussed' 'with' 'regard' 'to' 'the'
 'hypothesis' 'that' 'ultrasound' 'production' 'is' 'the' 'acoustic' 'by'
 '-' 'product' 'of' 'a' 'physiological' 'maneuver' 'that' 'compensates'
 'for' 'clonidine']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
"['Differential' 'effects' 'of' 'systemically' 'administered' 'ketamine'
 'and' 'lidocaine' 'on' 'dynamic' 'and' 'static' 'hyperalgesia' 'induced'
 'by' 'intradermal' 'capsaicin' 'in' 'humans' '.']",[0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0]
"['We' 'have' 'examined' 'the' 'effect' 'of' 'systemic' 'administration'
 'of' 'ketamine' 'and' 'lidocaine' 'on' 'brush' '-' 'evoked' '(' 'dynamic'
 ')' 'pain' 'and' 'punctate' '-' 'evoked' '(' 'static' ')' 'hyperalgesia'
 'induced' 'by' 'capsaicin' '.']",[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 1 0]
"['In' 'a' 'randomized' ',' 'double' '-' 'blind' ',' 'placebo' '-'
 'controlled' ',' 'crossover' 'study' ',' 'we' 'studied' '12' 'volunteers'
 'in' 'three' 'experiments' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Capsaicin' '100' 'micrograms' 'was' 'injected' 'intradermally' 'on'
 'the' 'volar' 'forearm' 'followed' 'by' 'an' 'i' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['v' '.'],[0 0]
['infusion' 'of' 'ketamine' '(' 'bolus' '0' '.'],[0 0 1 0 0 0 0]
"['1' 'mg' 'kg' '-' '1' 'over' '10' 'min' 'followed' 'by' 'infusion' 'of'
 '7' 'micrograms' 'kg' '-' '1' 'min' '-' '1' '),' 'lidocaine' '5' 'mg'
 'kg' '-' '1' 'or' 'saline' 'for' '50' 'min' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
['Infusion' 'started' '15' 'min' 'after' 'injection' 'of' 'capsaicin' '.'],[0 0 0 0 0 0 0 1 0]
"['The' 'following' 'were' 'measured' ':' 'spontaneous' 'pain' ',' 'pain'
 'evoked' 'by' 'punctate' 'and' 'brush' 'stimuli' '(' 'VAS' '),' 'and'
 'areas' 'of' 'brush' '-' 'evoked' 'and' 'punctate' '-' 'evoked'
 'hyperalgesia' '.']",[0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0]
"['Ketamine' 'reduced' 'both' 'the' 'area' 'of' 'brush' '-' 'evoked' 'and'
 'punctate' '-' 'evoked' 'hyperalgesia' 'significantly' 'and' 'it'
 'tended' 'to' 'reduce' 'brush' '-' 'evoked' 'pain' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0]
"['Lidocaine' 'reduced' 'the' 'area' 'of' 'punctate' '-' 'evoked'
 'hyperalgesia' 'significantly' '.']",[1 0 0 0 0 0 0 0 2 0 0]
"['It' 'tended' 'to' 'reduce' 'VAS' 'scores' 'of' 'spontaneous' 'pain'
 'but' 'had' 'no' 'effect' 'on' 'evoked' 'pain' '.']",[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0]
"['The' 'differential' 'effects' 'of' 'ketamine' 'and' 'lidocaine' 'on'
 'static' 'and' 'dynamic' 'hyperalgesia' 'suggest' 'that' 'the' 'two'
 'types' 'of' 'hyperalgesia']",[0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 2]
"['Cyclosporine' 'and' 'tacrolimus' '-' 'associated' 'thrombotic'
 'microangiopathy' '.']",[1 0 1 0 0 2 3 0]
"['The' 'development' 'of' 'thrombotic' 'microangiopathy' '(' 'TMA' ')'
 'associated' 'with' 'the' 'use' 'of' 'cyclosporine' 'has' 'been' 'well'
 'documented' '.']",[0 0 0 2 3 0 2 0 0 0 0 0 0 1 0 0 0 0 0]
"['Treatments' 'have' 'included' 'discontinuation' 'or' 'reduction' 'of'
 'cyclosporine' 'dose' 'with' 'or' 'without' 'concurrent' 'plasma'
 'exchange' ',' 'plasma' 'infusion' ',' 'anticoagulation' ',' 'and'
 'intravenous' 'immunoglobulin' 'G' 'infusion' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['However' ',' 'for' 'recipients' 'of' 'organ' 'transplantation' ','
 'removing' 'the' 'inciting' 'agent' 'is' 'not' 'without' 'the'
 'attendant' 'risk' 'of' 'precipitating' 'acute' 'rejection' 'and' 'graft'
 'loss' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['The' 'last' 'decade' 'has' 'seen' 'the' 'emergence' 'of' 'tacrolimus'
 'as' 'a' 'potent' 'immunosuppressive' 'agent' 'with' 'mechanisms' 'of'
 'action' 'virtually' 'identical' 'to' 'those' 'of' 'cyclosporine' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
"['As' 'a' 'result' ',' 'switching' 'to' 'tacrolimus' 'has' 'been'
 'reported' 'to' 'be' 'a' 'viable' 'therapeutic' 'option' 'in' 'the'
 'setting' 'of' 'cyclosporine' '-' 'induced' 'TMA' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0]
"['With' 'the' 'more' 'widespread' 'application' 'of' 'tacrolimus' 'in'
 'organ' 'transplantation' ',' 'tacrolimus' '-' 'associated' 'TMA' 'has'
 'also' 'been' 'recognized' '.']",[0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0]
"['However' ',' 'literature' 'regarding' 'the' 'incidence' 'of' 'the'
 'recurrence' 'of' 'TMA' 'in' 'patients' 'exposed' 'sequentially' 'to'
 'cyclosporine' 'and' 'tacrolimus' 'is' 'limited' '.']",[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0]
"['We' 'report' 'a' 'case' 'of' 'a' 'living' 'donor' 'renal' 'transplant'
 'recipient' 'who' 'developed' 'cyclosporine' '-' 'induced' 'TMA' 'that'
 'responded' 'to' 'the' 'withdrawal' 'of' 'cyclosporine' 'in'
 'conjunction' 'with' 'plasmapheresis' 'and' 'fresh' 'frozen' 'plasma'
 'replacement' 'therapy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
"['Introduction' 'of' 'tacrolimus' 'as' 'an' 'alternative'
 'immunosuppressive' 'agent' 'resulted' 'in' 'the' 'recurrence' 'of' 'TMA'
 'and' 'the' 'subsequent' 'loss' 'of' 'the' 'renal' 'allograft' '.']",[0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0]
"['Patients' 'who' 'are' 'switched' 'from' 'cyclosporine' 'to' 'tacrolimus'
 'or' 'vice' 'versa' 'should' 'be' 'closely' 'monitored' 'for' 'the'
 'signs' 'and' 'symptoms' 'of' 'recurrent' 'TMA']",[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2]
"['Repeated' 'transient' 'anuria' 'following' 'losartan' 'administration'
 'in' 'a' 'patient' 'with' 'a' 'solitary' 'kidney' '.']",[0 0 2 0 1 0 0 0 0 0 0 0 0 0]
"['We' 'report' 'the' 'case' 'of' 'a' '70' '-' 'year' '-' 'old'
 'hypertensive' 'man' 'with' 'a' 'solitary' 'kidney' 'and' 'chronic'
 'renal' 'insufficiency' 'who' 'developed' 'two' 'episodes' 'of'
 'transient' 'anuria' 'after' 'losartan' 'administration' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 3 3 0 0 0 0 0 0 2 0 1 0 0]
"['He' 'was' 'hospitalized' 'for' 'a' 'myocardial' 'infarction' 'with'
 'pulmonary' 'edema' ',' 'treated' 'with' 'high' '-' 'dose' 'diuretics'
 '.']",[0 0 0 0 0 2 3 0 2 3 0 0 0 0 0 0 0 0]
"['Due' 'to' 'severe' 'systolic' 'dysfunction' 'losartan' 'was'
 'prescribed' '.']",[0 0 0 2 3 1 0 0 0]
"['Surprisingly' ',' 'the' 'first' 'dose' 'of' '50' 'mg' 'of' 'losartan'
 'resulted' 'in' 'a' 'sudden' 'anuria' ',' 'which' 'lasted' 'eight'
 'hours' 'despite' 'high' '-' 'dose' 'furosemide' 'and' 'amine' 'infusion'
 '.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0]
"['One' 'week' 'later' ',' 'by' 'mistake' ',' 'losartan' 'was' 'prescribed'
 'again' 'and' 'after' 'the' 'second' 'dose' 'of' '50' 'mg' ',' 'the'
 'patient' 'developed' 'a' 'second' 'episode' 'of' 'transient' 'anuria'
 'lasting' '10' 'hours' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0]
"['During' 'these' 'two' 'episodes' ',' 'his' 'blood' 'pressure'
 'diminished' 'but' 'no' 'severe' 'hypotension' 'was' 'noted' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0]
"['Ultimately' ',' 'an' 'arteriography' 'showed' 'a' '70' '-' '80' '%'
 'renal' 'artery' 'stenosis' '.']",[0 0 0 0 0 0 0 0 0 0 2 3 3 0]
